room_id,host_id,room_type,borough,neighborhood,reviews,overall_satisfaction,accommodates,bedrooms,price,minstay,latitude,longitude,last_modified
3220272,2349948,Entire home/apt,,4,64,4.5,2.0,0.0,109.0,2.0,21.274701,-157.82397,2016-02-13 17:49:44.781475
7419733,22942005,Private room,,4,8,5.0,2.0,1.0,59.0,2.0,21.278794,-157.792642,2016-02-13 17:49:28.343469
10143562,2707113,Private room,,4,7,4.5,1.0,1.0,75.0,1.0,21.276419,-157.821529,2016-02-13 17:49:23.140520
10576450,12622337,Entire home/apt,,4,1,,2.0,0.0,103.0,1.0,21.279801,-157.824014,2016-02-13 17:49:20.328722
6644077,10306818,Private room,,2,18,5.0,1.0,1.0,60.0,3.0,21.576495,-158.107249,2016-02-13 17:49:14.041580
9714401,50150452,Entire home/apt,,3,1,4.0,5.0,2.0,239.0,5.0,21.33613,-157.69939,2016-02-13 17:49:10.589217
4258597,22090924,Entire home/apt,,3,26,5.0,4.0,2.0,140.0,3.0,21.405746,-157.777234,2016-02-13 17:49:04.122126
7230265,33941841,Shared room,,4,11,5.0,2.0,1.0,75.0,1.0,21.28631,-157.837374,2016-02-13 17:48:54.398921
6665578,33380091,Entire home/apt,,4,0,,4.0,1.0,210.0,,21.275177,-157.820896,2016-02-13 17:48:50.317517
9577136,770461,Entire home/apt,,2,3,5.0,,3.0,400.0,1.0,21.650973,-158.060375,2016-02-13 17:48:47.006861
946210,5127430,Private room,,5,7,4.5,1.0,1.0,85.0,1.0,21.303213,-157.822396,2016-02-13 17:48:41.304109
7375868,38641130,Private room,,6,29,5.0,2.0,1.0,55.0,1.0,21.336305,-157.863665,2016-02-13 17:48:28.222889
8156344,5355764,Entire home/apt,,2,12,5.0,2.0,0.0,135.0,3.0,21.683453,-158.031751,2016-02-13 17:48:25.629485
2561446,4255217,Private room,,3,34,5.0,2.0,1.0,155.0,2.0,21.397612,-157.73318,2016-02-13 17:47:50.193690
9609554,49721374,Private room,,2,2,5.0,2.0,1.0,100.0,2.0,21.64338,-158.043759,2016-02-13 17:47:47.309410
6914584,13422293,Entire home/apt,,4,1,5.0,,3.0,650.0,5.0,21.294987,-157.786832,2016-02-13 17:47:41.524855
2755253,14093442,Entire home/apt,,4,86,5.0,4.0,1.0,145.0,1.0,21.283397,-157.831405,2016-02-13 17:47:38.005995
4752451,24524337,Entire home/apt,,2,19,4.5,4.0,2.0,141.0,2.0,21.647229,-158.048314,2016-02-13 17:47:33.504797
7073250,85234,Entire home/apt,,4,12,5.0,4.0,0.0,109.0,4.0,21.272591,-157.82244,2016-02-13 17:47:25.938651
1084023,5256548,Entire home/apt,,4,109,5.0,4.0,0.0,109.0,2.0,21.282057,-157.826499,2016-02-13 17:47:05.486520
6377914,33239312,Entire home/apt,,3,22,5.0,3.0,0.0,165.0,2.0,21.393219,-157.719804,2016-02-13 17:46:59.160597
1235594,3913149,Entire home/apt,,5,7,5.0,1.0,1.0,85.0,5.0,21.288197,-157.810443,2016-02-13 17:46:52.590534
976294,4719183,Shared room,,4,44,4.5,1.0,1.0,28.0,1.0,21.279962,-157.833184,2016-02-13 17:46:47.046270
8071242,14654082,Entire home/apt,,4,1,3.0,2.0,0.0,119.0,3.0,21.281795,-157.827013,2016-02-13 17:46:33.845841
9800985,50400898,Private room,,4,0,,2.0,1.0,49.0,5.0,21.308707,-157.673375,2016-02-13 17:46:10.696029
1836469,2581995,Entire home/apt,,4,79,4.0,3.0,1.0,116.0,1.0,21.277296,-157.823005,2016-02-13 17:45:50.092222
2268117,11581691,Entire home/apt,,3,11,5.0,4.0,2.0,150.0,3.0,21.383862,-157.743097,2016-02-13 17:45:41.302477
5068700,12370863,Entire home/apt,,4,16,5.0,2.0,1.0,195.0,3.0,21.274075,-157.82061,2016-02-13 17:45:39.704175
6242135,2944360,Entire home/apt,,4,19,4.5,4.0,1.0,185.0,1.0,21.27746,-157.82366,2016-02-13 17:45:30.036098
3799854,9976338,Entire home/apt,,2,61,5.0,2.0,0.0,150.0,1.0,21.602836,-157.899227,2016-02-13 17:45:22.587062
4794949,12622337,Entire home/apt,,4,9,4.5,4.0,1.0,170.0,2.0,21.275828,-157.822142,2016-02-13 17:45:10.559986
3201961,14388021,Entire home/apt,,4,10,5.0,4.0,1.0,100.0,3.0,21.273437,-157.804304,2016-02-13 17:45:06.606141
7055380,34946956,Entire home/apt,,4,1,5.0,2.0,1.0,125.0,2.0,21.278383,-157.823756,2016-02-13 17:44:55.554225
6994580,461037,Entire home/apt,,1,0,,,3.0,799.0,5.0,21.333858,-158.122578,2016-02-13 17:44:46.940725
5249072,26120914,Private room,,4,32,4.5,1.0,1.0,65.0,3.0,21.272265,-157.806096,2016-02-13 17:44:43.059694
9577867,25196825,Entire home/apt,,4,2,4.5,2.0,1.0,90.0,2.0,21.27861,-157.824988,2016-02-13 17:44:23.788324
6630454,33380091,Entire home/apt,,4,0,,6.0,1.0,190.0,,21.274212,-157.821071,2016-02-13 17:44:07.221751
