room_id,survey_id,host_id,room_type,country,city,borough,neighborhood,reviews,overall_satisfaction,accommodates,bedrooms,bathrooms,price,minstay,last_modified,latitude,longitude,location
9663132,1424,34884725,Shared room,,Oahu,,4,6,4.5,2,1.0,,118.0,,2017-07-09 23:42:40.910198,21.263031,-157.808921,0101000020E610000086014BAEE2B963C08DD5E6FF55433540
16338947,1424,106972465,Shared room,,Oahu,,6,0,0.0,2,1.0,,60.0,,2017-07-09 23:42:38.844352,21.368079,-157.89807,0101000020E610000099F04BFDBCBC63C02A58E36C3A5E3540
16666773,1424,103167733,Shared room,,Oahu,,5,11,5.0,2,1.0,,45.0,,2017-07-09 23:42:36.166897,21.295847,-157.828809,0101000020E61000002DB4739A85BA63C0A59E05A1BC4B3540
13136720,1424,73105395,Shared room,,Oahu,,4,1,0.0,3,1.0,,200.0,,2017-07-09 23:42:31.240689,21.285967,-157.830385,0101000020E6100000D942908392BA63C038BC202235493540
17786969,1424,47586744,Shared room,,Oahu,,7,0,0.0,1,1.0,,159.0,,2017-07-09 23:42:29.882402,21.336775,-157.913547,0101000020E61000007C0BEBC63BBD63C0431CEBE236563540
17572330,1424,47586744,Shared room,,Oahu,,4,0,0.0,1,1.0,,120.0,,2017-07-09 23:42:28.012982,21.28718,-157.839686,0101000020E6100000179D2CB5DEBA63C0B610E4A084493540
10635955,1424,34884725,Shared room,,Oahu,,4,2,0.0,2,1.0,,120.0,,2017-07-09 23:42:28.009721,21.274102,-157.823269,0101000020E6100000F1D93A3858BA63C0A8C4758C2B463540
9958241,1424,34884725,Shared room,,Oahu,,4,4,4.0,2,1.0,,88.0,,2017-07-09 23:42:26.753309,21.270776,-157.810418,0101000020E6100000DFC2BAF1EEB963C0AD8A709351453540
15975226,1424,103782269,Shared room,,Oahu,,4,0,0.0,1,1.0,,85.0,,2017-07-09 23:42:26.749072,21.269787,-157.779037,0101000020E6100000F7AB00DFEDB863C0CEE2C5C210453540
7024901,1424,34884725,Shared room,,Oahu,,4,5,4.0,2,1.0,,88.0,,2017-07-09 23:42:26.746116,21.270809,-157.809371,0101000020E610000096EA025EE6B963C0647616BD53453540
19332753,1424,134812211,Shared room,,Oahu,,4,0,0.0,3,1.0,,95.0,,2017-07-09 23:42:26.743772,21.281897,-157.830648,0101000020E61000009C4F1DAB94BA63C02CD7DB662A483540
10168154,1424,52044973,Shared room,,Oahu,,4,1,0.0,2,1.0,,100.0,,2017-07-09 23:42:26.740401,21.278382,-157.778877,0101000020E61000006953758FECB863C08ACBF10A44473540
9970955,1424,34884725,Shared room,,Oahu,,4,1,0.0,1,1.0,,68.0,,2017-07-09 23:42:25.165019,21.270355,-157.810761,0101000020E6100000EA7B0DC1F1B963C0614F3BFC35453540
11442272,1424,34884725,Shared room,,Oahu,,4,3,3.5,1,1.0,,68.0,,2017-07-09 23:42:23.828332,21.273903,-157.821912,0101000020E61000001406651A4DBA63C0BB46CB811E463540
19122792,1424,78727872,Shared room,,Oahu,,4,0,0.0,2,1.0,,76.0,,2017-07-09 23:42:23.826064,21.272215,-157.821998,0101000020E610000014ECBFCE4DBA63C00B7BDAE1AF453540
7040306,1424,16759150,Shared room,,Oahu,,4,104,4.5,5,1.0,,61.0,,2017-07-09 23:42:23.823043,21.27925,-157.823795,0101000020E610000077F354875CBA63C0736891ED7C473540
9013919,1424,3228579,Shared room,,Oahu,,4,12,4.5,2,1.0,,75.0,,2017-07-09 23:42:23.818303,21.286065,-157.837493,0101000020E610000020B41EBECCBA63C0BE874B8E3B493540
18943596,1424,132000984,Shared room,,Oahu,,4,0,0.0,2,1.0,,80.0,,2017-07-09 23:42:23.813831,21.268738,-157.783778,0101000020E610000061AA99B514B963C044317903CC443540
10594785,1424,34884725,Shared room,,Oahu,,4,3,4.5,1,1.0,,68.0,,2017-07-09 23:42:23.810613,21.275277,-157.821665,0101000020E610000092E865144BBA63C04B57B08D78463540
18816380,1424,131012155,Shared room,,Oahu,,4,0,0.0,4,1.0,,70.0,,2017-07-09 23:42:23.807006,21.263773,-157.78638,0101000020E610000050C763062AB963C05C9198A086433540
8371750,1424,44124106,Shared room,,Oahu,,4,8,4.0,2,1.0,,75.0,,2017-07-09 23:42:23.804343,21.285817,-157.836894,0101000020E6100000FF06EDD5C7BA63C00EA48B4D2B493540
5318498,1424,27552317,Shared room,,Oahu,,4,39,4.5,1,1.0,,75.0,,2017-07-09 23:42:23.796585,21.275027,-157.819804,0101000020E6100000292499D53BBA63C05A84622B68463540
583302,1424,2874260,Shared room,,Oahu,,2,19,5.0,4,1.0,,72.0,,2017-07-09 23:42:23.793896,21.669898,-158.043045,0101000020E61000003468E89F60C163C0E3A7716F7EAB3540
16443856,1424,107845011,Shared room,,Oahu,,4,14,5.0,1,1.0,,65.0,,2017-07-09 23:42:23.791656,21.28196,-157.828284,0101000020E61000009A79724D81BA63C0B9C7D2872E483540
18636724,1424,8588098,Shared room,,Oahu,,4,3,4.0,1,1.0,,75.0,,2017-07-09 23:42:23.789330,21.287168,-157.837205,0101000020E610000087E12362CABA63C02E7590D783493540
74778,1424,394309,Shared room,,Oahu,,5,139,5.0,2,1.0,,61.0,,2017-07-09 23:42:23.784712,21.285545,-157.826826,0101000020E610000071AFCC5B75BA63C04C89247A19493540
18655041,1424,125921382,Shared room,,Oahu,,5,0,0.0,2,1.0,,49.0,,2017-07-09 23:42:21.790508,21.294398,-157.840137,0101000020E61000001B65FD66E2BA63C00002D6AA5D4B3540
14442918,1424,7918368,Shared room,,Oahu,,4,8,5.0,2,1.0,,49.0,,2017-07-09 23:42:21.783744,21.290171,-157.838593,0101000020E6100000F2B4FCC0D5BA63C0643F8BA5484A3540
13105698,1424,39556950,Shared room,,Oahu,,4,1,0.0,2,1.0,,45.0,,2017-07-09 23:42:21.781293,21.274965,-157.821906,0101000020E61000005CCCCF0D4DBA63C06E8B321B64463540
19298408,1424,69738914,Shared room,,Oahu,,4,0,0.0,2,1.0,,40.0,,2017-07-09 23:42:21.779181,21.278489,-157.823928,0101000020E610000047C8409E5DBA63C0B64B1B0E4B473540
13222021,1424,61189766,Shared room,,Oahu,,4,1,0.0,2,1.0,,60.0,,2017-07-09 23:42:21.776666,21.279096,-157.698184,0101000020E6100000E5D2F88557B663C0C571E0D572473540
14526544,1424,75701333,Shared room,,Oahu,,4,13,5.0,1,1.0,,60.0,,2017-07-09 23:42:21.772298,21.282354,-157.827917,0101000020E6100000AED9CA4B7EBA63C011E50B5A48483540
14870518,1424,26711833,Shared room,,Oahu,,4,6,4.5,1,1.0,,45.0,,2017-07-09 23:42:21.768355,21.275744,-157.795262,0101000020E61000000D384BC972B963C07711A62897463540
15213931,1424,96656264,Shared room,,Oahu,,5,4,5.0,1,1.0,,50.0,,2017-07-09 23:42:20.248117,21.293546,-157.830047,0101000020E610000093E4B9BE8FBA63C022DFA5D4254B3540
7842636,1424,41295929,Shared room,,Oahu,,6,2,0.0,2,1.0,,60.0,,2017-07-09 23:42:20.245325,21.304532,-157.833066,0101000020E61000001B2D077AA8BA63C0E19524CFF54D3540
16220459,1424,25219361,Shared room,,Oahu,,4,7,5.0,1,1.0,,45.0,,2017-07-09 23:42:20.241580,21.27292,-157.821863,0101000020E61000005C59A2B34CBA63C0A06CCA15DE453540
6259284,1424,3516228,Shared room,,Oahu,,4,41,5.0,2,1.0,,60.0,,2017-07-09 23:42:20.239430,21.285466,-157.831297,0101000020E61000006A882AFC99BA63C0B41EBE4C14493540
14774787,1424,12532653,Shared room,,Oahu,,5,18,5.0,2,1.0,,45.0,,2017-07-09 23:42:20.236485,21.287973,-157.796979,0101000020E610000029931ADA80B963C08A213999B8493540
17641990,1424,120011630,Shared room,,Oahu,,6,0,0.0,1,1.0,,45.0,,2017-07-09 23:42:20.234024,21.31571,-157.853074,0101000020E61000002C62D8614CBB63C02905DD5ED2503540
66592,1424,88829,Shared room,,Oahu,,5,91,5.0,2,1.0,,54.0,,2017-07-09 23:42:20.231791,21.318637,-157.801827,0101000020E610000098C11891A8B963C0A94BC63192513540
3195808,1424,10816949,Shared room,,Oahu,,4,53,4.5,2,1.0,,60.0,,2017-07-09 23:42:20.229164,21.283043,-157.831785,0101000020E6100000B58993FB9DBA63C09A5C8C8175483540
8717467,1424,2677633,Shared room,,Oahu,,7,37,4.5,6,1.0,,60.0,,2017-07-09 23:42:20.226408,21.316615,-157.889904,0101000020E61000008C12F4177ABC63C04C6C3EAE0D513540
19592291,1424,107845011,Shared room,,Oahu,,4,1,0.0,2,1.0,,45.0,,2017-07-09 23:42:20.224330,21.282845,-157.826722,0101000020E6100000471CB28174BA63C04DD6A88768483540
2306136,1424,11775273,Shared room,,Oahu,,5,137,4.5,2,1.0,,45.0,,2017-07-09 23:42:20.221714,21.288962,-157.8214,0101000020E6100000E71DA7E848BA63C069C9E369F9493540
19028620,1424,132783453,Shared room,,Oahu,,7,0,0.0,3,1.0,,45.0,,2017-07-09 23:42:20.219496,21.339051,-157.873587,0101000020E6100000BE66B96CF4BB63C015ADDC0BCC563540
16315062,1424,106763280,Shared room,,Oahu,,6,12,5.0,2,1.0,,53.0,,2017-07-09 23:42:20.216851,21.367596,-157.899949,0101000020E61000002C62D861CCBC63C0F2237EC51A5E3540
17173403,1424,85906272,Shared room,,Oahu,,8,8,5.0,4,1.0,,50.0,,2017-07-09 23:42:20.214742,21.399551,-157.938985,0101000020E6100000E84D452A0CBE63C087156EF948663540
