room_id,host_id,room_type,borough,neighborhood,reviews,overall_satisfaction,accommodates,bedrooms,price,minstay,latitude,longitude,last_modified
13159263,64366980,Entire home/apt,,4,7,5.0,3,,75.0,3.0,21.285621,-157.832098,2016-11-18 17:45:23.218005
5511136,4719183,Shared room,,4,38,4.5,1,,28.0,1.0,21.28368,-157.828673,2016-11-18 17:45:18.650335
11516758,34024330,Entire home/apt,,4,11,4.5,4,,120.0,2.0,21.284778,-157.836426,2016-11-18 17:45:15.907149
15128778,69552498,Entire home/apt,,4,2,,6,,359.0,3.0,21.280507,-157.830423,2016-11-18 17:44:55.053396
749939,3942373,Private room,,1,1,,2,,110.0,2.0,21.351133,-158.088125,2016-11-18 17:44:37.890778
13489516,77184154,Entire home/apt,,4,0,,5,,480.0,,21.283221,-157.838739,2016-11-18 17:44:16.251575
15011745,7918368,Entire home/apt,,4,3,5.0,2,,70.0,,21.28556,-157.838439,2016-11-18 17:43:49.251629
6033926,31317658,Private room,,4,51,5.0,2,,69.0,1.0,21.299928,-157.68781,2016-11-18 17:43:42.768331
11491677,43793840,Entire home/apt,,4,8,4.0,4,,140.0,3.0,21.275954,-157.824675,2016-11-18 17:43:37.497367
5671479,14898273,Entire home/apt,,3,2,,8,,915.0,3.0,21.340217,-157.700359,2016-11-18 17:43:05.030664
15735019,101669078,Entire home/apt,,4,0,,2,,79.0,5.0,21.281969,-157.82631,2016-11-18 17:42:54.576374
15717476,74079684,Entire home/apt,,4,0,,4,,345.0,7.0,21.286005,-157.839594,2016-11-18 17:42:41.658488
14764024,92076716,Shared room,,8,1,,2,,90.0,1.0,21.424072,-158.002066,2016-11-18 17:42:31.782175
7688935,40381287,Entire home/apt,,1,1,,6,,300.0,1.0,21.342031,-158.117684,2016-11-18 17:41:55.966419
9065312,47054315,Entire home/apt,,2,1,,6,,189.0,1.0,21.700147,-157.991887,2016-11-18 17:41:45.427237
14074907,29252577,Entire home/apt,,2,3,4.5,3,,100.0,,21.555746,-157.85555,2016-11-18 17:41:33.622247
13953342,12935418,Shared room,,5,3,5.0,1,,39.0,1.0,21.289924,-157.79874,2016-11-18 17:41:29.097580
295520,1456277,Private room,,5,39,5.0,2,,59.0,7.0,21.299745,-157.791983,2016-11-18 17:41:07.534920
13115451,10453152,Entire home/apt,,4,0,,5,,492.0,7.0,21.261699,-157.821282,2016-11-18 17:40:39.172671
13098377,72542556,Entire home/apt,,4,0,,11,,1185.0,1.0,21.267555,-157.780088,2016-11-18 17:40:29.376366
216812,1119313,Private room,,4,76,5.0,2,,85.0,2.0,21.273759,-157.798957,2016-11-18 17:40:21.255635
14820330,92647073,Entire home/apt,,4,0,,6,,599.0,3.0,21.278886,-157.825891,2016-11-18 17:40:17.687753
6975416,33260099,Entire home/apt,,4,43,4.5,2,,94.0,1.0,21.275456,-157.824072,2016-11-18 17:40:07.690159
8429041,27131231,Entire home/apt,,4,4,4.5,6,,280.0,1.0,21.275689,-157.820189,2016-11-18 17:39:59.059598
9654600,43793840,Entire home/apt,,4,17,4.0,5,,160.0,3.0,21.27601,-157.820449,2016-11-18 17:39:51.196511
14886805,28716554,Private room,,4,9,4.5,4,,77.0,1.0,21.274311,-157.814091,2016-11-18 17:39:37.914673
12441523,2328062,Private room,,5,6,4.5,2,,35.0,1.0,21.324696,-157.803761,2016-11-18 17:39:34.697207
771663,1172448,Private room,,3,117,4.5,2,,80.0,1.0,21.410285,-157.746004,2016-11-18 17:39:07.973145
14456828,4178827,Private room,,6,9,5.0,4,,69.0,1.0,21.325566,-157.815084,2016-11-18 17:38:54.779763
6187822,32014300,Entire home/apt,,2,46,4.5,2,,250.0,3.0,21.624228,-158.078972,2016-11-18 17:37:23.232835
7789883,37018253,Entire home/apt,,2,42,5.0,2,,150.0,2.0,21.630567,-158.072068,2016-11-18 17:37:19.575068
8631455,26567464,Entire home/apt,,4,5,5.0,8,,715.0,3.0,21.309513,-157.674159,2016-11-18 17:37:00.784365
4212091,21859324,Private room,,3,11,4.5,5,,183.0,5.0,21.385616,-157.726569,2016-11-18 17:35:53.433418
12074620,64706798,Private room,,4,5,5.0,2,,55.0,1.0,21.269602,-157.803562,2016-11-18 17:35:39.167983
1664552,8799028,Entire home/apt,,4,98,4.5,4,,154.0,1.0,21.281292,-157.827988,2016-11-18 17:34:50.667055
14047014,29411550,Entire home/apt,,2,4,4.5,9,,325.0,4.0,21.651246,-157.929707,2016-11-18 17:34:21.970716
14170101,62145143,Entire home/apt,,4,2,,6,,488.0,1.0,21.285061,-157.838344,2016-11-18 17:34:17.792946
14474186,24712052,Entire home/apt,,4,0,,4,,219.0,4.0,21.283299,-157.837457,2016-11-18 17:34:06.965542
14637724,10496350,Entire home/apt,,4,2,,4,,149.0,3.0,21.273962,-157.821505,2016-11-18 17:34:02.337233
11698521,62167211,Private room,,2,18,5.0,4,,125.0,1.0,21.608838,-157.911794,2016-11-18 17:33:39.333768
1271749,4619663,Entire home/apt,,2,125,5.0,8,,170.0,1.0,21.61667,-157.915069,2016-11-18 17:32:35.497398
10785937,1927133,Private room,,4,0,,1,,75.0,5.0,21.279932,-157.749664,2016-11-18 17:32:29.011318
12853208,7863522,Entire home/apt,,3,21,5.0,3,,120.0,2.0,21.393852,-157.731154,2016-11-18 17:32:26.118263
8592320,15482830,Entire home/apt,,2,34,4.5,7,,165.0,1.0,21.605117,-157.905992,2016-11-18 17:32:23.576323
279191,1456277,Private room,,5,50,5.0,1,,49.0,7.0,21.298334,-157.791634,2016-11-18 17:32:12.095998
793797,4049989,Entire home/apt,,4,4,4.5,3,,143.0,3.0,21.284227,-157.840244,2016-11-18 17:25:29.437755
15808372,101780986,Private room,,4,1,,2,,90.0,1.0,21.285571,-157.836212,2016-11-18 17:24:44.707560
6104457,31674268,Entire home/apt,,5,0,,4,,139.0,5.0,21.282233,-157.805882,2016-11-18 17:23:39.701502
3294207,2349948,Entire home/apt,,4,74,4.5,3,,99.0,2.0,21.276541,-157.822078,2016-11-18 17:23:35.324774
10251704,25102990,Private room,,2,7,4.5,2,,85.0,2.0,21.570412,-158.111253,2016-11-18 17:23:06.844352
4779337,12518090,Entire home/apt,,2,41,4.5,6,,135.0,1.0,21.647345,-157.919186,2016-11-18 17:22:51.046999
14252305,86456569,Entire home/apt,,4,1,,8,,338.0,3.0,21.279828,-157.828055,2016-11-18 17:22:33.022142
10994606,51018667,Entire home/apt,,4,0,,6,,247.0,3.0,21.2828,-157.827382,2016-11-18 17:22:25.986712
8704071,45692240,Entire home/apt,,2,37,5.0,4,,119.0,3.0,21.575405,-158.118758,2016-11-18 17:22:21.684076
14806008,24276332,Shared room,,2,6,4.5,1,,40.0,1.0,21.578908,-158.105265,2016-11-18 17:22:11.839551
8661929,37343901,Entire home/apt,,4,38,4.5,4,,99.0,1.0,21.281586,-157.825516,2016-11-18 17:22:09.570267
13100450,42947939,Entire home/apt,,4,11,4.0,2,,89.0,1.0,21.27689,-157.822631,2016-11-18 17:21:26.171960
2228762,11369496,Private room,,3,30,4.5,2,,92.0,3.0,21.392526,-157.734206,2016-11-18 17:21:07.322980
1605190,8551876,Entire home/apt,,4,59,4.5,4,,75.0,,21.275726,-157.821987,2016-11-18 17:20:55.505972
4076897,12370863,Entire home/apt,,4,37,4.0,4,,99.0,3.0,21.284358,-157.835434,2016-11-18 17:20:45.871173
8830828,46252583,Private room,,3,39,5.0,2,,89.0,1.0,21.410775,-157.764903,2016-11-18 17:20:42.149405
14120713,69552498,Entire home/apt,,4,1,,6,,455.0,4.0,21.276211,-157.823298,2016-11-18 17:20:39.377159
326906,1671879,Entire home/apt,,4,12,4.0,2,,129.0,4.0,21.286315,-157.8336,2016-11-18 17:20:36.117311
11829193,40913905,Entire home/apt,,4,10,4.5,3,,90.0,2.0,21.272066,-157.822803,2016-11-18 17:20:26.600433
14400390,14654082,Entire home/apt,,4,0,,3,,129.0,3.0,21.280356,-157.825084,2016-11-18 17:20:23.764880
11240556,10786506,Private room,,4,28,4.5,2,,65.0,2.0,21.280568,-157.795687,2016-11-18 17:19:47.512142
4475983,395819,Private room,,4,60,4.5,2,,85.0,2.0,21.2775,-157.824668,2016-11-18 17:19:28.734134
863620,4529496,Private room,,2,76,4.5,3,,85.0,1.0,21.58203,-158.137228,2016-11-18 17:19:20.340332
7290670,38181332,Entire home/apt,,4,12,4.5,8,,677.0,,21.273721,-157.82316,2016-11-18 17:18:40.651388
2233117,11398624,Private room,,8,42,5.0,2,,79.0,2.0,21.427681,-157.960283,2016-11-18 17:18:34.842718
10308703,52989506,Entire home/apt,,1,18,4.0,7,,75.0,1.0,21.383455,-158.14728,2016-11-18 17:18:27.487582
15100809,95618926,Private room,,3,12,4.0,2,,50.0,1.0,21.440644,-157.838878,2016-11-18 17:17:41.868609
654697,3294064,Entire home/apt,,2,63,4.5,2,,177.0,3.0,21.58212,-158.126028,2016-11-18 17:17:28.635479
11033148,57256217,Entire home/apt,,4,4,4.5,4,,120.0,4.0,21.273687,-157.821003,2016-11-18 17:17:16.170035
6630466,33380091,Entire home/apt,,4,0,,4,,135.0,,21.275685,-157.821686,2016-11-18 17:16:45.399733
15531634,86748234,Entire home/apt,,4,0,,2,,135.0,,21.286466,-157.84008,2016-11-18 17:16:38.551799
15822485,25739324,Private room,,1,0,,3,,70.0,,21.334086,-158.058852,2016-11-18 17:16:35.209701
7213555,33123363,Private room,,5,67,4.5,2,,59.0,1.0,21.295908,-157.843696,2016-11-18 17:16:31.545138
14533101,30500690,Entire home/apt,,1,4,5.0,3,,100.0,3.0,21.48205,-158.202372,2016-11-18 17:16:25.820859
10475434,22555593,Entire home/apt,,4,36,5.0,4,,105.0,,21.281068,-157.824608,2016-11-18 17:16:04.407655
12753533,25846886,Entire home/apt,,2,1,,16,,589.0,4.0,21.612604,-157.914689,2016-11-18 17:15:56.565245
11921141,54693186,Entire home/apt,,4,0,,2,,140.0,,21.274717,-157.820639,2016-11-18 17:15:47.627886
6259284,3516228,Shared room,,4,33,5.0,2,,60.0,1.0,21.285466,-157.831297,2016-11-18 17:15:36.358411
14475243,86456569,Entire home/apt,,4,3,4.5,2,,105.0,2.0,21.278718,-157.823233,2016-11-18 17:15:08.998822
11675554,34946956,Entire home/apt,,4,1,,6,,185.0,1.0,21.276119,-157.825021,2016-11-18 17:14:46.941312
8189737,42959371,Entire home/apt,,4,29,4.5,6,,210.0,2.0,21.27535,-157.820171,2016-11-18 17:14:23.089092
11282664,43793840,Entire home/apt,,4,6,4.5,2,,130.0,3.0,21.2717,-157.82202,2016-11-18 17:14:10.994965
15858101,17123673,Private room,,4,0,,2,,80.0,5.0,21.286094,-157.830901,2016-11-18 17:13:49.003068
15700272,94662235,Entire home/apt,,2,0,,5,,150.0,3.0,21.575352,-158.158576,2016-11-18 17:13:32.288986
15134233,1414711,Entire home/apt,,5,1,,2,,110.0,2.0,21.302963,-157.837041,2016-11-18 17:13:27.580837
11863471,63239131,Entire home/apt,,4,5,5.0,2,,100.0,3.0,21.273195,-157.823256,2016-11-18 17:13:24.168460
14826494,92715155,Entire home/apt,,4,2,,2,,209.0,,21.285114,-157.839445,2016-11-18 17:13:17.245734
7003169,36714186,Private room,,3,18,4.5,2,,85.0,4.0,21.383528,-157.730159,2016-11-18 17:12:31.083817
1836469,2581995,Entire home/apt,,4,111,4.0,3,,110.0,1.0,21.277296,-157.823005,2016-11-18 17:12:26.987430
15395351,19136060,Entire home/apt,,4,2,,6,,180.0,1.0,21.279459,-157.826687,2016-11-18 17:12:09.445395
13606807,74212152,Entire home/apt,,4,9,5.0,2,,88.0,3.0,21.294681,-157.789359,2016-11-18 17:11:16.600829
14404393,1382491,Entire home/apt,,4,3,5.0,15,,549.0,5.0,21.29209,-157.708705,2016-11-18 17:11:01.012477
4018884,395819,Entire home/apt,,4,82,4.5,3,,99.0,1.0,21.281757,-157.825566,2016-11-18 17:10:56.842760
15498475,98999129,Private room,,2,0,,2,,125.0,1.0,21.55377,-157.854421,2016-11-18 17:10:34.249077
15669199,86538740,Private room,,2,0,,4,,199.0,2.0,21.617261,-157.91421,2016-11-18 17:10:00.964438
8573626,43532519,Entire home/apt,,2,2,,6,,310.0,4.0,21.618586,-157.914192,2016-11-18 17:09:45.642110
5050905,16113256,Entire home/apt,,4,37,4.0,2,,99.0,2.0,21.285589,-157.840003,2016-11-18 17:09:41.650351
15589939,25014211,Entire home/apt,,4,0,,4,,124.0,2.0,21.280105,-157.826573,2016-11-18 17:09:26.175877
16017028,461037,Entire home/apt,,2,0,,2,,119.0,4.0,21.61448,-157.915964,2016-11-18 17:09:16.031526
6623872,34669701,Entire home/apt,,2,46,5.0,4,,175.0,3.0,21.581201,-158.126151,2016-11-18 17:08:48.594107
5959675,30938976,Entire home/apt,,4,24,4.5,2,,117.0,3.0,21.287843,-157.754056,2016-11-18 17:08:44.530256
14936573,20267852,Shared room,,5,0,,1,,40.0,1.0,21.288494,-157.82221,2016-11-18 17:08:41.693016
15930325,83439590,Private room,,5,0,,2,,95.0,1.0,21.293727,-157.852914,2016-11-18 17:08:12.760183
13564551,19136060,Entire home/apt,,4,9,4.5,2,,92.0,,21.275351,-157.822636,2016-11-18 17:07:35.423626
12874040,2349948,Entire home/apt,,4,9,4.5,1,,90.0,2.0,21.274715,-157.824631,2016-11-18 17:07:23.570165
9996944,51356467,Private room,,4,0,,2,,750.0,3.0,21.280862,-157.73473,2016-11-18 17:07:15.755189
11824519,62985405,Private room,,4,1,,2,,70.0,5.0,21.278276,-157.698861,2016-11-18 17:06:43.515162
7920757,41730382,Entire home/apt,,4,30,5.0,3,,125.0,3.0,21.27914,-157.827945,2016-11-18 17:06:08.572896
8470255,27282116,Private room,,4,5,5.0,2,,43.0,2.0,21.267076,-157.814764,2016-11-18 17:05:57.957471
15099263,1198163,Entire home/apt,,3,3,4.5,2,,142.0,,21.394344,-157.732035,2016-11-18 17:05:47.825001
9810456,1191923,Entire home/apt,,2,4,3.5,8,,395.0,4.0,21.630445,-157.923136,2016-11-18 17:05:44.554506
14059325,80835795,Entire home/apt,,4,9,5.0,2,,110.0,4.0,21.27903,-157.826617,2016-11-18 17:05:39.112506
10344743,14825612,Entire home/apt,,4,2,,4,,140.0,7.0,21.286132,-157.831497,2016-11-18 17:05:20.725402
12782641,69552498,Entire home/apt,,4,0,,6,,599.0,3.0,21.28381,-157.838109,2016-11-18 17:05:01.087517
6941077,34149865,Private room,,4,81,5.0,2,,69.0,1.0,21.267916,-157.790279,2016-11-18 17:04:53.973505
2900218,14807311,Entire home/apt,,5,1,,6,,700.0,14.0,21.296856,-157.833869,2016-11-18 17:04:50.207420
12043455,64482330,Private room,,2,4,5.0,2,,115.0,1.0,21.578775,-158.127786,2016-11-18 17:04:44.162580
15405419,52370762,Entire home/apt,,2,0,,5,,200.0,2.0,21.579662,-158.125532,2016-11-18 17:04:32.260810
10162074,21302839,Entire home/apt,,4,21,4.5,2,,125.0,1.0,21.272272,-157.820821,2016-11-18 17:04:22.533398
11660083,20267852,Shared room,,5,1,,1,,44.0,1.0,21.285856,-157.82259,2016-11-18 17:04:19.655752
