room_id,host_id,room_type,borough,neighborhood,reviews,overall_satisfaction,accommodates,bedrooms,price,minstay,latitude,longitude,last_modified
8105335,42788414,Entire home/apt,,2,10,4.5,4,1.0,160.0,1.0,21.590134,-157.890801,2016-10-16 05:16:31.802183
8906767,11822619,Entire home/apt,,4,30,4.5,4,1.0,149.0,3.0,21.283477,-157.837551,2016-10-16 05:16:13.466697
6780014,13364145,Entire home/apt,,4,0,,3,1.0,110.0,3.0,21.2884,-157.835748,2016-10-16 05:16:08.251227
3654964,18492191,Entire home/apt,,4,64,4.5,4,0.0,119.0,3.0,21.279937,-157.826427,2016-10-16 05:16:03.660438
15411505,87986116,Entire home/apt,,2,0,,2,1.0,140.0,,21.64458,-158.06196,2016-10-16 05:15:55.511828
14897178,12164326,Private room,,2,2,,2,1.0,80.0,1.0,21.590073,-158.098194,2016-10-16 05:15:45.089569
15347518,56898222,Private room,,4,0,,2,1.0,80.0,1.0,21.280388,-157.828231,2016-10-16 05:15:17.154518
4706342,20569554,Entire home/apt,,4,33,4.5,2,1.0,120.0,3.0,21.28323,-157.827478,2016-10-16 05:15:10.533762
1726142,677327,Private room,,5,20,4.5,1,1.0,56.0,7.0,21.301535,-157.844379,2016-10-16 05:14:44.707968
13916806,1596819,Entire home/apt,,4,8,4.5,6,1.0,189.0,,21.279855,-157.826777,2016-10-16 05:14:35.078396
4550768,23595242,Entire home/apt,,4,22,4.5,5,3.0,250.0,3.0,21.297655,-157.703189,2016-10-16 05:14:23.750402
14826616,6431950,Entire home/apt,,4,3,5.0,3,1.0,100.0,3.0,21.284911,-157.790292,2016-10-16 05:14:18.729825
13418573,76473169,Entire home/apt,,4,1,,7,2.0,235.0,,21.286342,-157.833811,2016-10-16 05:14:02.615674
14113575,69552498,Entire home/apt,,4,0,,4,1.0,160.0,4.0,21.281586,-157.830204,2016-10-16 05:13:59.846502
14136796,24462286,Private room,,4,5,4.0,2,1.0,98.0,3.0,21.28475,-157.835813,2016-10-16 05:13:59.502366
13900859,68456454,Private room,,5,6,4.5,2,1.0,65.0,1.0,21.296965,-157.842923,2016-10-16 05:13:47.018538
15103929,91050745,Entire home/apt,,4,0,,4,1.0,150.0,2.0,21.275052,-157.821394,2016-10-16 05:13:46.157987
10838166,48189124,Entire home/apt,,4,0,,3,0.0,89.0,2.0,21.286538,-157.833842,2016-10-16 05:13:36.527798
6480645,461037,Entire home/apt,,1,1,,6,2.0,615.0,7.0,21.335018,-158.121111,2016-10-16 05:13:15.079093
13717647,80165700,Entire home/apt,,3,0,,10,5.0,600.0,5.0,21.401872,-157.736751,2016-10-16 05:13:10.263739
10999124,11763720,Entire home/apt,,4,35,5.0,2,0.0,85.0,1.0,21.276539,-157.824042,2016-10-16 05:12:55.489432
14120738,69552498,Entire home/apt,,4,0,,4,1.0,359.0,3.0,21.279073,-157.832408,2016-10-16 05:12:53.869780
1712598,9032726,Entire home/apt,,2,6,5.0,8,3.0,250.0,4.0,21.625252,-157.920768,2016-10-16 05:11:51.869876
8573626,43532519,Entire home/apt,,2,2,,6,3.0,310.0,4.0,21.618586,-157.914192,2016-10-16 05:11:42.374028
15387284,48189124,Entire home/apt,,4,0,,6,1.0,125.0,2.0,21.288252,-157.83294,2016-10-16 05:11:39.088748
14628027,90736190,Private room,,4,6,5.0,1,1.0,85.0,2.0,21.28337,-157.829796,2016-10-16 05:10:57.100928
7602049,37470406,Private room,,1,0,,2,1.0,50.0,2.0,21.412664,-158.168102,2016-10-16 05:10:56.518349
3163832,15399797,Entire home/apt,,2,15,4.0,3,0.0,150.0,1.0,21.669948,-158.044184,2016-10-16 05:10:53.810425
12386216,24712052,Entire home/apt,,4,3,4.5,4,1.0,129.0,4.0,21.283405,-157.838773,2016-10-16 05:10:49.434839
11742587,62145143,Private room,,4,38,4.5,2,1.0,88.0,2.0,21.284742,-157.83718,2016-10-16 05:10:21.127307
7915794,2084053,Private room,,6,1,,2,1.0,69.0,1.0,21.306817,-157.832414,2016-10-16 05:10:13.084714
14371030,13487756,Entire home/apt,,3,2,,4,2.0,139.0,3.0,21.395101,-157.748981,2016-10-16 05:10:05.693586
8849269,33518620,Entire home/apt,,4,6,4.5,3,1.0,114.0,1.0,21.280711,-157.824742,2016-10-16 05:09:55.856444
13332182,30885019,Entire home/apt,,4,3,5.0,4,2.0,300.0,,21.273343,-157.824137,2016-10-16 05:09:54.981874
6259284,3516228,Shared room,,4,33,5.0,2,1.0,55.0,1.0,21.285466,-157.831297,2016-10-16 05:09:46.929960
14594102,32788627,Entire home/apt,,4,0,,4,1.0,149.0,3.0,21.290823,-157.840267,2016-10-16 05:09:44.926011
