room_id,host_id,room_type,borough,neighborhood,reviews,overall_satisfaction,accommodates,bedrooms,price,minstay,latitude,longitude,last_modified
2693954,13787464,Private room,,4,15,5.0,,,75.0,3.0,21.281933,-157.781385,2015-10-18 05:37:32.841518
6503441,19709019,Entire home/apt,,5,4,5.0,,,275.0,2.0,21.295406,-157.846743,2015-10-18 07:48:41.473986
6675775,10496350,Entire home/apt,,4,0,,,,1025.0,14.0,21.276069,-157.782683,2015-10-18 10:25:29.229201
7180864,14898273,Entire home/apt,,3,3,4.5,,,98.0,3.0,21.414673,-157.749904,2015-10-18 20:37:50.363515
7874756,5006973,Private room,,5,7,4.5,2.0,1.0,79.0,1.0,21.28725,-157.831328,2015-10-18 06:12:19.690438
2882721,461037,Entire home/apt,,2,0,,,4.0,300.0,3.0,21.649005,-157.930774,2015-10-18 06:13:42.340888
3163686,15399797,Entire home/apt,,2,8,4.5,4.0,0.0,175.0,1.0,21.670739,-158.044787,2015-10-18 06:14:52.205469
2356059,10496350,Entire home/apt,,4,2,4.5,,4.0,900.0,7.0,21.256772,-157.791484,2015-10-18 06:15:05.961367
5279907,5667655,Entire home/apt,,4,23,4.5,2.0,1.0,140.0,1.0,21.273246,-157.788017,2015-10-18 06:15:34.244723
7859792,41423781,Entire home/apt,,3,4,5.0,2.0,0.0,140.0,4.0,21.422205,-157.752726,2015-10-18 06:15:59.495726
8341415,8055475,Entire home/apt,,6,0,,,4.0,650.0,4.0,21.308613,-157.834144,2015-10-18 06:16:58.599542
5191976,20267852,Private room,,6,1,5.0,1.0,1.0,44.0,4.0,21.325471,-157.855515,2015-10-18 06:17:17.447427
330368,1671879,Entire home/apt,,4,30,4.0,2.0,1.0,88.0,4.0,21.275283,-157.824005,2015-10-18 06:17:59.006119
6291063,15111003,Entire home/apt,,3,1,5.0,,3.0,550.0,1.0,21.407274,-157.742915,2015-10-18 06:18:16.296052
4680378,2441500,Entire home/apt,,4,36,4.5,3.0,0.0,109.0,1.0,21.271278,-157.820919,2015-10-18 06:18:56.213804
5649257,29164377,Entire home/apt,,1,0,,,2.0,712.0,7.0,21.339887,-158.12057,2015-10-18 06:58:55.671884
23639,93320,Entire home/apt,,2,5,5.0,,3.0,395.0,5.0,21.639555,-158.062341,2015-10-18 06:20:13.328508
