room_id,host_id,room_type,borough,neighborhood,reviews,overall_satisfaction,accommodates,bedrooms,price,minstay,latitude,longitude,last_modified
13093965,4394268,Entire home/apt,,2,6,5.0,10,3.0,550.0,,21.647803,-157.917534,2016-07-14 22:32:36.751237
13619287,78871415,Entire home/apt,,4,0,,2,0.0,115.0,1.0,21.273956,-157.820664,2016-07-14 22:32:33.031740
3810776,19587720,Entire home/apt,,2,3,4.0,6,3.0,295.0,4.0,21.652722,-158.061331,2016-07-14 22:32:29.843325
11556524,8058149,Entire home/apt,,4,5,5.0,2,1.0,145.0,3.0,21.277088,-157.822992,2016-07-14 22:32:26.528119
2687069,12304286,Private room,,6,44,4.5,2,1.0,77.0,3.0,21.332917,-157.852664,2016-07-14 22:32:20.179529
12386216,24712052,Entire home/apt,,4,1,,4,1.0,129.0,4.0,21.283405,-157.838773,2016-07-14 22:32:12.326323
12453752,44483583,Shared room,,5,1,,1,1.0,30.0,1.0,21.298327,-157.826382,2016-07-14 22:32:09.021932
13414380,69151778,Private room,,8,1,,2,1.0,50.0,1.0,21.386333,-157.999726,2016-07-14 22:32:05.399549
4773773,12622337,Entire home/apt,,4,17,4.5,4,0.0,124.0,2.0,21.286309,-157.83879,2016-07-14 22:32:03.189999
13032399,44292536,Entire home/apt,,4,0,,4,1.0,332.0,2.0,21.279276,-157.832785,2016-07-14 22:31:57.399074
7503339,30451500,Entire home/apt,,4,1,,2,0.0,67.0,4.0,21.278732,-157.832188,2016-07-14 22:31:50.449881
10600083,54222306,Shared room,,4,7,5.0,2,1.0,43.0,1.0,21.271404,-157.7056,2016-07-14 22:31:39.531385
7787243,40892664,Entire home/apt,,4,5,4.5,4,2.0,450.0,1.0,21.284805,-157.839292,2016-07-14 22:31:36.796322
12389813,30727175,Entire home/apt,,4,0,,2,1.0,85.0,7.0,21.267661,-157.816525,2016-07-14 22:31:15.438043
7486915,39177382,Private room,,4,9,5.0,1,1.0,79.0,1.0,21.276073,-157.822921,2016-07-14 22:31:07.314569
7527119,39444723,Entire home/apt,,1,24,4.5,3,1.0,99.0,2.0,21.482049,-158.204101,2016-07-14 22:31:02.159252
1970520,5448114,Entire home/apt,,4,37,4.0,2,1.0,95.0,3.0,21.28576,-157.838593,2016-07-14 22:30:59.961177
797756,4201037,Entire home/apt,,4,34,4.5,5,1.0,145.0,2.0,21.274521,-157.822259,2016-07-14 22:30:56.285976
12782648,69552498,Entire home/apt,,4,0,,6,3.0,342.0,,21.282723,-157.831217,2016-07-14 22:30:51.459698
6993737,36669291,Private room,,1,44,5.0,2,1.0,70.0,1.0,21.312126,-158.024496,2016-07-14 22:30:48.227067
13727214,47143189,Entire home/apt,,2,0,,4,2.0,250.0,4.0,21.678119,-158.032631,2016-07-14 22:30:45.728756
12385525,12518090,Entire home/apt,,2,1,,10,5.0,350.0,5.0,21.611764,-157.91196,2016-07-14 22:30:43.625716
7709160,4221173,Entire home/apt,,4,10,5.0,4,1.0,165.0,1.0,21.284932,-157.832667,2016-07-14 22:30:36.525522
12809297,69829513,Entire home/apt,,4,5,5.0,2,0.0,100.0,2.0,21.276543,-157.82347,2016-07-14 22:30:32.497651
7803583,29462468,Entire home/apt,,4,11,5.0,5,3.0,150.0,2.0,21.294008,-157.723408,2016-07-14 22:30:20.203341
9648410,43476117,Entire home/apt,,2,11,5.0,5,1.0,125.0,2.0,21.588359,-157.892015,2016-07-14 22:29:51.291630
1049127,461037,Entire home/apt,,2,1,,6,3.0,240.0,3.0,21.643602,-157.919448,2016-07-14 22:29:45.444048
6594538,25445257,Entire home/apt,,4,4,4.5,4,1.0,150.0,4.0,21.273598,-157.822493,2016-07-14 22:29:39.775700
8699204,45669606,Entire home/apt,,4,21,4.5,10,4.0,358.0,1.0,21.294235,-157.750794,2016-07-14 22:29:29.874789
8190377,37257332,Entire home/apt,,4,15,5.0,2,0.0,171.0,3.0,21.257756,-157.802393,2016-07-14 22:29:22.903641
6332914,461037,Entire home/apt,,4,6,4.5,3,1.0,150.0,3.0,21.279448,-157.827546,2016-07-14 22:29:19.121469
8811506,46162464,Entire home/apt,,1,3,4.5,3,1.0,99.0,9.0,21.463682,-158.213656,2016-07-14 22:28:56.087600
4257954,8417259,Entire home/apt,,2,4,5.0,2,1.0,150.0,2.0,21.654141,-158.058589,2016-07-14 22:28:50.448226
1022203,2393210,Entire home/apt,,1,1,,4,2.0,400.0,6.0,21.334756,-158.121125,2016-07-14 22:28:40.550606
931204,4719183,Private room,,4,22,4.5,2,1.0,35.0,1.0,21.282775,-157.830174,2016-07-14 22:28:37.417341
5884904,30561646,Private room,,2,1,,3,1.0,119.0,3.0,21.679343,-158.034242,2016-07-14 22:28:24.004825
8071242,14654082,Entire home/apt,,4,2,,2,0.0,99.0,1.0,21.281795,-157.827013,2016-07-14 22:28:20.366071
4550768,23595242,Entire home/apt,,4,22,4.5,5,3.0,250.0,3.0,21.297655,-157.703189,2016-07-14 22:28:14.152381
7527483,39444723,Entire home/apt,,1,19,4.5,2,0.0,99.0,3.0,21.478761,-158.223151,2016-07-14 22:28:05.864547
13906761,17535581,Private room,,5,0,,2,1.0,48.0,1.0,21.324969,-157.798848,2016-07-14 22:28:02.349526
11421257,34961508,Entire home/apt,,4,4,5.0,6,3.0,850.0,1.0,21.258579,-157.817717,2016-07-14 22:27:55.417003
8567920,12370863,Entire home/apt,,4,2,,2,1.0,120.0,1.0,21.273991,-157.818601,2016-07-14 22:27:52.443595
13498620,31458893,Shared room,,4,1,,6,1.0,30.0,1.0,21.2804,-157.824776,2016-07-14 22:27:49.247831
7389890,38716903,Entire home/apt,,1,3,4.5,6,2.0,275.0,2.0,21.472916,-158.207422,2016-07-14 22:27:46.688695
13803833,80584291,Shared room,,5,0,,3,1.0,78.0,1.0,21.301651,-157.82352,2016-07-14 22:27:37.733856
9161659,47689828,Entire home/apt,,4,4,4.5,4,1.0,159.0,1.0,21.284923,-157.838707,2016-07-14 22:27:34.158721
12045028,63127157,Entire home/apt,,2,1,,10,3.0,450.0,1.0,21.64721,-157.91868,2016-07-14 22:27:30.448932
12212633,27194067,Private room,,6,15,5.0,2,1.0,54.0,3.0,21.353336,-157.856962,2016-07-14 22:27:25.791784
13800381,740644,Entire home/apt,,4,0,,2,0.0,125.0,1.0,21.286664,-157.831755,2016-07-14 22:27:19.201449
8130358,14740621,Entire home/apt,,1,7,4.5,7,2.0,130.0,1.0,21.479677,-158.203545,2016-07-14 22:27:16.455066
10409472,41521066,Private room,,5,21,4.5,2,1.0,89.0,1.0,21.287291,-157.827984,2016-07-14 22:27:10.073082
5125181,25521669,Entire home/apt,,2,0,,12,5.0,1200.0,7.0,21.677246,-158.037762,2016-07-14 22:27:07.491823
4951214,25521669,Entire home/apt,,2,2,,16,7.0,1950.0,7.0,21.663116,-158.052583,2016-07-14 22:27:04.024859
6171824,31940688,Private room,,5,54,5.0,2,1.0,65.0,1.0,21.291691,-157.817946,2016-07-14 22:27:02.288726
994861,971399,Entire home/apt,,5,37,5.0,5,2.0,144.0,1.0,21.285801,-157.819967,2016-07-14 22:26:55.842814
6220041,32256463,Private room,,4,10,5.0,1,1.0,70.0,1.0,21.281445,-157.828116,2016-07-14 22:26:49.808420
10680107,55167919,Private room,,4,30,4.5,2,1.0,98.0,1.0,21.286163,-157.831818,2016-07-14 22:26:37.887703
1594667,8443062,Entire home/apt,,2,23,5.0,6,2.0,295.0,3.0,21.65351,-158.061441,2016-07-14 22:26:17.218312
7763810,40828112,Private room,,6,35,5.0,2,1.0,65.0,1.0,21.313922,-157.850778,2016-07-14 22:26:14.532138
13867591,8353931,Entire home/apt,,7,0,,2,0.0,80.0,2.0,21.363343,-157.927142,2016-07-14 22:26:06.953856
1619618,513911,Entire home/apt,,4,20,4.0,2,1.0,120.0,3.0,21.272853,-157.820563,2016-07-14 22:26:03.527123
932996,5029415,Private room,,5,56,4.0,3,1.0,59.0,3.0,21.296496,-157.794176,2016-07-14 22:26:00.382471
2172663,8644284,Entire home/apt,,4,63,4.5,3,1.0,120.0,3.0,21.284457,-157.835861,2016-07-14 22:25:56.706937
6034188,3152360,Entire home/apt,,4,11,4.5,4,0.0,190.0,1.0,21.279402,-157.826557,2016-07-14 22:25:52.719697
3727986,19045639,Entire home/apt,,2,51,5.0,6,2.0,160.0,3.0,21.462972,-157.845473,2016-07-14 22:25:46.354093
2989578,9584870,Private room,,2,11,4.5,4,1.0,99.0,2.0,21.650554,-157.930904,2016-07-14 22:25:43.761574
8257794,34024330,Entire home/apt,,4,35,4.5,2,0.0,113.0,2.0,21.276251,-157.823614,2016-07-14 22:25:37.389113
4250457,22056400,Entire home/apt,,4,23,5.0,4,1.0,124.0,1.0,21.285057,-157.838126,2016-07-14 22:25:27.153180
7997077,42214060,Private room,,6,41,4.5,2,1.0,73.0,2.0,21.308269,-157.847558,2016-07-14 22:25:19.647368
7805538,25322227,Entire home/apt,,3,7,5.0,6,3.0,483.0,5.0,21.336017,-157.698419,2016-07-14 22:24:58.724131
6676900,10496350,Entire home/apt,,4,1,,14,5.0,1050.0,,21.272657,-157.782228,2016-07-14 22:24:45.908294
7405576,2384634,Entire home/apt,,4,22,4.5,6,2.0,192.0,2.0,21.285687,-157.83366,2016-07-14 22:24:20.326222
5390995,27944927,Entire home/apt,,4,0,,4,1.0,117.0,6.0,21.281861,-157.827649,2016-07-14 22:24:10.732673
13320112,50238203,Private room,,4,6,5.0,2,1.0,48.0,2.0,21.273875,-157.809531,2016-07-14 22:24:07.417544
814960,4201037,Entire home/apt,,4,51,4.5,5,1.0,165.0,2.0,21.273894,-157.820168,2016-07-14 22:24:00.495630
6665507,33380091,Entire home/apt,,4,0,,4,1.0,120.0,1.0,21.275334,-157.821998,2016-07-14 22:23:57.075006
10997430,53469519,Private room,,5,4,5.0,2,1.0,89.0,2.0,21.288153,-157.826579,2016-07-14 22:23:38.891509
1726142,677327,Private room,,5,16,4.0,1,1.0,56.0,7.0,21.301535,-157.844379,2016-07-14 22:23:29.689700
2049837,10506084,Entire home/apt,,2,37,5.0,4,1.0,159.0,1.0,21.455565,-157.827084,2016-07-14 22:23:25.479660
13435628,76650998,Entire home/apt,,4,1,,3,0.0,85.0,3.0,21.279294,-157.826496,2016-07-14 22:23:09.267116
10457508,53880785,Entire home/apt,,1,11,5.0,3,1.0,89.0,3.0,21.483214,-158.204724,2016-07-14 22:23:01.234992
1129061,6194110,Entire home/apt,,4,30,4.5,3,0.0,105.0,2.0,21.285717,-157.838569,2016-07-14 22:22:53.638892
12045580,25196825,Entire home/apt,,4,7,4.5,3,1.0,110.0,5.0,21.277163,-157.824166,2016-07-14 22:22:50.035922
3630154,18295569,Entire home/apt,,2,0,,2,0.0,200.0,6.0,21.678634,-158.039079,2016-07-14 22:22:43.411189
13511498,8064525,Entire home/apt,,5,0,,4,2.0,125.0,3.0,21.287276,-157.819047,2016-07-14 22:22:36.106737
12184750,2945250,Entire home/apt,,4,2,,4,2.0,90.0,1.0,21.283613,-157.794841,2016-07-14 22:22:32.921038
13884470,46988383,Entire home/apt,,4,0,,2,1.0,95.0,1.0,21.274398,-157.820001,2016-07-14 22:22:23.090158
11065338,57427184,Private room,,4,0,,2,1.0,92.0,3.0,21.29009,-157.840826,2016-07-14 22:22:00.314408
2823802,10074001,Entire home/apt,,2,4,4.5,6,3.0,250.0,3.0,21.606385,-157.913115,2016-07-14 22:21:57.168034
12776988,63118611,Entire home/apt,,4,3,4.5,4,1.0,125.0,2.0,21.279986,-157.831218,2016-07-14 22:21:50.409591
6665385,33380091,Entire home/apt,,4,0,,4,1.0,180.0,,21.275408,-157.820313,2016-07-14 22:21:46.612346
9996295,32626187,Private room,,9,2,,2,1.0,65.0,20.0,21.40371,-158.037202,2016-07-14 22:21:44.545682
620602,90563,Entire home/apt,,2,1,,8,4.0,1200.0,7.0,21.657595,-158.058388,2016-07-14 22:21:40.840449
9510449,49224276,Shared room,,2,5,4.5,1,1.0,35.0,1.0,21.679976,-158.033047,2016-07-14 22:21:33.672467
