room_id,survey_id,host_id,room_type,country,city,borough,neighborhood,reviews,overall_satisfaction,accommodates,bedrooms,bathrooms,price,minstay,last_modified,latitude,longitude,location
17756630,1182,121173426,Shared room,,Oahu,,4,0,0.0,3,1.0,,52.0,,2017-05-04 19:08:29.494001,21.285651,-157.740068,0101000020E61000001E1A16A3AEB763C0D811876C20493540
14442918,1182,7918368,Shared room,,Oahu,,4,8,5.0,2,1.0,,49.0,,2017-05-04 19:08:29.487519,21.290171,-157.838593,0101000020E6100000F2B4FCC0D5BA63C0643F8BA5484A3540
14526544,1182,75701333,Shared room,,Oahu,,4,12,5.0,1,1.0,,60.0,,2017-05-04 19:08:29.484451,21.282354,-157.827917,0101000020E6100000AED9CA4B7EBA63C011E50B5A48483540
18088453,1182,96656264,Shared room,,Oahu,,5,0,0.0,2,1.0,,45.0,,2017-05-04 19:08:29.482129,21.290362,-157.829789,0101000020E61000009432A9A18DBA63C04B00FE29554A3540
66592,1182,88829,Shared room,,Oahu,,5,89,5.0,2,1.0,,55.0,,2017-05-04 19:08:29.479191,21.318637,-157.801827,0101000020E610000098C11891A8B963C0A94BC63192513540
7040306,1182,16759150,Shared room,,Oahu,,4,99,4.5,5,1.0,,43.0,,2017-05-04 19:08:29.476004,21.27925,-157.823795,0101000020E610000077F354875CBA63C0736891ED7C473540
13176735,1182,14178113,Shared room,,Oahu,,4,6,5.0,1,1.0,,55.0,,2017-05-04 19:08:29.469231,21.285816,-157.836847,0101000020E61000002F185C73C7BA63C06DACC43C2B493540
17670733,1182,70723341,Shared room,,Oahu,,4,0,0.0,1,1.0,,49.0,,2017-05-04 19:08:28.034301,21.285903,-157.835156,0101000020E6100000DD611399B9BA63C00BD462F030493540
17641990,1182,120011630,Shared room,,Oahu,,6,0,0.0,1,1.0,,45.0,,2017-05-04 19:08:28.031927,21.31571,-157.853074,0101000020E61000002C62D8614CBB63C02905DD5ED2503540
16220459,1182,25219361,Shared room,,Oahu,,4,4,5.0,1,1.0,,55.0,,2017-05-04 19:08:28.028950,21.27292,-157.821863,0101000020E61000005C59A2B34CBA63C0A06CCA15DE453540
14870518,1182,26711833,Shared room,,Oahu,,4,6,4.5,2,1.0,,45.0,,2017-05-04 19:08:28.024828,21.275744,-157.795262,0101000020E61000000D384BC972B963C07711A62897463540
12384885,1182,66846717,Shared room,,Oahu,,4,20,4.5,2,1.0,,50.0,,2017-05-04 19:08:28.017595,21.276107,-157.822251,0101000020E61000004E4354E14FBA63C05932C7F2AE463540
16644440,1182,71721190,Shared room,,Oahu,,4,4,4.5,2,1.0,,50.0,,2017-05-04 19:08:28.014661,21.286923,-157.837904,0101000020E610000001A60C1CD0BA63C0607825C973493540
14774787,1182,12532653,Shared room,,Oahu,,5,14,5.0,2,1.0,,49.0,,2017-05-04 19:08:28.009567,21.287973,-157.796979,0101000020E610000029931ADA80B963C08A213999B8493540
14234348,1182,85906272,Shared room,,Oahu,,8,8,4.5,1,1.0,,50.0,,2017-05-04 19:08:28.006922,21.397441,-157.974377,0101000020E6100000309FAC182EBF63C0EC1681B1BE653540
2306136,1182,11775273,Shared room,,Oahu,,5,127,4.5,2,1.0,,45.0,,2017-05-04 19:08:28.002085,21.288962,-157.8214,0101000020E6100000E71DA7E848BA63C069C9E369F9493540
1006799,1182,88829,Shared room,,Oahu,,5,58,5.0,2,1.0,,49.0,,2017-05-04 19:08:27.997041,21.317626,-157.800585,0101000020E610000062156F649EB963C0FB5B02F04F513540
16828601,1182,28486620,Shared room,,Oahu,,5,34,5.0,2,1.0,,45.0,,2017-05-04 19:08:27.994978,21.298061,-157.829856,0101000020E6100000768C2B2E8EBA63C08B36C7B94D4C3540
12810796,1182,69846031,Shared room,,Oahu,,4,42,4.5,2,1.0,,49.0,,2017-05-04 19:08:27.992852,21.290128,-157.837677,0101000020E610000091F3FE3FCEBA63C065A71FD4454A3540
14407402,1182,88600739,Shared room,,Oahu,,4,36,5.0,1,1.0,,45.0,,2017-05-04 19:08:27.990107,21.285501,-157.834346,0101000020E61000008DF161F6B2BA63C0ADF9F19716493540
14673694,1182,91208219,Shared room,,Oahu,,7,38,4.5,4,1.0,,50.0,,2017-05-04 19:08:27.987079,21.320319,-157.856104,0101000020E6100000313F373465BB63C095490D6D00523540
17173403,1182,85906272,Shared room,,Oahu,,8,6,5.0,4,1.0,,50.0,,2017-05-04 19:08:27.984062,21.399551,-157.938985,0101000020E6100000E84D452A0CBE63C087156EF948663540
18116371,1182,108733722,Shared room,,Oahu,,1,0,0.0,3,1.0,,30.0,,2017-05-04 19:08:26.869185,21.326975,-158.077577,0101000020E61000007FBDC2827BC263C00F9C33A2B4533540
13953342,1182,12935418,Shared room,,Oahu,,5,4,4.0,1,1.0,,39.0,,2017-05-04 19:08:26.866481,21.289924,-157.79874,0101000020E61000003A4030478FB963C054539275384A3540
14806005,1182,24276332,Shared room,,Oahu,,2,0,0.0,1,1.0,,30.0,,2017-05-04 19:08:26.864406,21.577489,-158.105226,0101000020E61000000B96EA025EC363C0BCCCB051D6933540
14805625,1182,24276332,Shared room,,Oahu,,2,0,0.0,1,1.0,,30.0,,2017-05-04 19:08:26.861945,21.578923,-158.105669,0101000020E61000006F66F4A361C363C0F7E6374C34943540
