room_id,host_id,room_type,borough,neighborhood,reviews,overall_satisfaction,accommodates,bedrooms,price,minstay,latitude,longitude,last_modified
426613,1671698,Entire home/apt,,4,100,4.5,2,1.0,92.0,1.0,21.276562,-157.823986,2016-09-14 20:58:29.899035
6319085,77633,Entire home/apt,,4,0,,4,0.0,140.0,1.0,21.279584,-157.828078,2016-09-14 20:58:25.228430
9150540,27927193,Entire home/apt,,4,19,5.0,2,0.0,102.0,1.0,21.286109,-157.833055,2016-09-14 20:57:51.573120
13530824,74079684,Entire home/apt,,4,0,,5,2.0,415.0,,21.284539,-157.839392,2016-09-14 20:57:31.161305
9451168,48973927,Entire home/apt,,5,9,5.0,3,1.0,90.0,1.0,21.309359,-157.81471,2016-09-14 20:57:28.604384
6095416,23906942,Entire home/apt,,4,12,4.5,4,3.0,168.0,4.0,21.290793,-157.694585,2016-09-14 20:57:14.277049
6402948,33390813,Private room,,2,10,4.5,2,1.0,200.0,2.0,21.650834,-158.061441,2016-09-14 20:57:11.474595
7040306,16759150,Shared room,,4,63,4.5,4,1.0,80.0,1.0,21.27925,-157.823795,2016-09-14 20:57:07.817373
4256582,3332623,Entire home/apt,,4,69,5.0,2,1.0,165.0,1.0,21.277255,-157.82246,2016-09-14 20:57:03.970327
4204584,21117352,Private room,,8,17,4.5,2,1.0,75.0,2.0,21.393751,-157.953079,2016-09-14 20:56:24.150397
13236143,35099620,Entire home/apt,,2,3,4.5,2,1.0,80.0,1.0,21.64212,-158.046859,2016-09-14 20:56:06.608158
5106354,3314241,Entire home/apt,,5,23,4.5,8,3.0,325.0,2.0,21.289756,-157.803197,2016-09-14 20:55:55.737948
10749725,11822619,Entire home/apt,,4,15,5.0,5,1.0,149.0,1.0,21.275219,-157.820522,2016-09-14 20:55:39.191463
12741438,69245835,Private room,,3,0,,2,1.0,152.0,4.0,21.390362,-157.715408,2016-09-14 20:55:29.477415
9648410,43476117,Entire home/apt,,2,14,4.5,5,1.0,125.0,2.0,21.588359,-157.892015,2016-09-14 20:54:52.802282
793797,4049989,Entire home/apt,,4,4,4.5,3,0.0,143.0,3.0,21.284227,-157.840244,2016-09-14 20:54:30.348661
7131499,29299960,Entire home/apt,,4,0,,2,0.0,165.0,1.0,21.285565,-157.830517,2016-09-14 20:54:26.254457
14027393,64851703,Entire home/apt,,4,5,4.5,4,1.0,110.0,2.0,21.286835,-157.836159,2016-09-14 20:54:18.080864
6676599,540592,Entire home/apt,,2,26,4.5,9,3.0,245.0,1.0,21.608465,-157.911436,2016-09-14 20:51:21.820088
14204471,13645733,Private room,,9,6,4.5,2,1.0,39.0,2.0,21.36799,-158.023544,2016-09-14 20:51:18.258096
12605971,21384555,Entire home/apt,,4,5,4.0,6,1.0,161.0,1.0,21.274109,-157.820324,2016-09-14 20:51:14.757731
9477845,29592938,Entire home/apt,,4,4,4.0,6,2.0,159.0,1.0,21.304586,-157.702399,2016-09-14 20:50:33.016889
11701307,43202501,Entire home/apt,,4,21,5.0,8,3.0,385.0,2.0,21.273858,-157.809721,2016-09-14 20:49:46.013688
3220172,2349948,Entire home/apt,,4,73,4.5,2,0.0,109.0,2.0,21.275489,-157.823647,2016-09-14 20:48:48.245925
722158,1671698,Entire home/apt,,4,81,4.5,2,1.0,112.0,1.0,21.276951,-157.822168,2016-09-14 20:48:38.096420
5386013,11763720,Entire home/apt,,4,22,5.0,2,0.0,95.0,1.0,21.275595,-157.823282,2016-09-14 20:48:08.703042
