room_id,host_id,room_type,borough,neighborhood,reviews,overall_satisfaction,accommodates,bedrooms,price,minstay,latitude,longitude,last_modified
16218614,102444591,Shared room,,5,2,0.0,2,1.0,70.0,,21.298058,-157.830526,2017-04-07 17:04:13.733934
14469303,915792,Shared room,,4,15,5.0,2,1.0,78.0,,21.289134,-157.837052,2017-04-07 17:04:13.710065
18013903,80593563,Shared room,,2,0,0.0,2,1.0,39.0,,21.482857,-158.002589,2017-04-07 17:04:11.779746
17251646,101780986,Shared room,,4,0,0.0,6,1.0,35.0,,21.287361,-157.834951,2017-04-07 17:04:11.776917
17736085,120961071,Shared room,,5,0,0.0,6,1.0,250.0,,21.285275,-157.811914,2017-04-07 17:04:10.435690
13136720,73105395,Shared room,,4,1,0.0,3,1.0,200.0,,21.285967,-157.830385,2017-04-07 17:04:09.543621
1661603,8804372,Shared room,,5,18,4.0,2,1.0,125.0,,21.280678,-157.805398,2017-04-07 17:04:07.511148
3061151,8804372,Shared room,,4,3,3.5,2,1.0,125.0,,21.2789,-157.803733,2017-04-07 17:04:07.506283
17786969,47586744,Shared room,,7,0,0.0,1,1.0,135.0,,21.336775,-157.913547,2017-04-07 17:04:07.501822
10635955,34884725,Shared room,,4,2,0.0,2,1.0,120.0,,21.274102,-157.823269,2017-04-07 17:04:06.270667
17572330,47586744,Shared room,,4,0,0.0,1,1.0,120.0,,21.28718,-157.839686,2017-04-07 17:04:06.264093
10168154,52044973,Shared room,,4,1,0.0,2,1.0,100.0,,21.278382,-157.778877,2017-04-07 17:04:05.130469
7024901,34884725,Shared room,,4,5,4.0,2,1.0,88.0,,21.270809,-157.809371,2017-04-07 17:04:05.121771
9958241,34884725,Shared room,,4,4,4.0,2,1.0,88.0,,21.270776,-157.810418,2017-04-07 17:04:05.118898
15975226,103782269,Shared room,,4,0,0.0,1,1.0,85.0,,21.269787,-157.779037,2017-04-07 17:04:05.116046
11638824,3641931,Shared room,,3,6,5.0,2,1.0,95.0,,21.390682,-157.73724,2017-04-07 17:04:05.108496
11442272,34884725,Shared room,,4,3,3.5,1,1.0,68.0,,21.273903,-157.821912,2017-04-07 17:04:02.810921
9663132,34884725,Shared room,,4,5,4.5,2,1.0,68.0,,21.263031,-157.808921,2017-04-07 17:04:02.803619
9970955,34884725,Shared room,,4,1,0.0,1,1.0,68.0,,21.270355,-157.810761,2017-04-07 17:04:02.794486
9013919,3228579,Shared room,,4,12,4.5,2,1.0,75.0,,21.286065,-157.837493,2017-04-07 17:04:02.791168
583302,2874260,Shared room,,2,18,5.0,4,1.0,75.0,,21.669898,-158.043045,2017-04-07 17:04:02.788639
17197831,112220318,Shared room,,6,0,0.0,2,1.0,70.0,,21.301885,-157.857349,2017-04-07 17:04:02.784722
2177962,6745065,Shared room,,1,0,0.0,1,1.0,80.0,,21.40468,-158.164278,2017-04-07 17:04:02.781452
74778,394309,Shared room,,5,135,5.0,2,1.0,69.0,,21.285545,-157.826826,2017-04-07 17:04:02.778122
13153261,73398492,Shared room,,4,26,5.0,2,1.0,69.0,,21.277175,-157.823949,2017-04-07 17:04:02.774354
10594785,34884725,Shared room,,4,3,4.5,1,1.0,68.0,,21.275277,-157.821665,2017-04-07 17:04:02.770096
8371750,44124106,Shared room,,4,8,4.0,2,1.0,75.0,,21.285817,-157.836894,2017-04-07 17:04:02.764909
5318498,27552317,Shared room,,4,39,4.5,1,1.0,75.0,,21.275027,-157.819804,2017-04-07 17:04:02.758751
14936573,20267852,Shared room,,5,1,0.0,1,1.0,45.0,,21.288494,-157.82221,2017-04-07 17:04:01.259492
17931913,122971903,Shared room,,4,0,0.0,8,1.0,54.0,,21.273872,-157.756574,2017-04-07 17:04:01.256933
