room_id,host_id,room_type,borough,neighborhood,reviews,overall_satisfaction,accommodates,bedrooms,price,minstay,latitude,longitude,last_modified
8190401,37257332,Entire home/apt,,4,6,4.5,2,0.0,171.0,3.0,21.257429,-157.80292,2016-05-16 16:53:51.327168
1976648,9476342,Entire home/apt,,2,121,4.5,3,1.0,130.0,1.0,21.562001,-158.109118,2016-05-16 16:53:43.163945
7859792,41423781,Entire home/apt,,3,23,5.0,2,0.0,140.0,4.0,21.422205,-157.752726,2016-05-16 16:53:39.491290
5533220,12270636,Entire home/apt,,4,55,5.0,4,0.0,101.0,1.0,21.289352,-157.793172,2016-05-16 16:53:23.240980
8875480,25846886,Entire home/apt,,2,2,,8,3.0,329.0,4.0,21.573884,-157.878186,2016-05-16 16:53:16.312707
10341525,53222681,Private room,,5,0,,1,1.0,80.0,1.0,21.301971,-157.823291,2016-05-16 16:53:12.144094
3802584,19536403,Private room,,4,31,5.0,1,1.0,65.0,2.0,21.28172,-157.802254,2016-05-16 16:52:48.156285
11413420,59924334,Private room,,3,0,,2,1.0,275.0,,21.387108,-157.713263,2016-05-16 16:52:27.996925
4839288,24905313,Entire home/apt,,3,36,5.0,3,0.0,200.0,5.0,21.407117,-157.743229,2016-05-16 16:52:24.216467
4865314,25026329,Entire home/apt,,4,9,4.5,2,0.0,89.0,,21.273222,-157.822222,2016-05-16 16:52:19.056682
9073908,47324761,Entire home/apt,,4,12,5.0,5,1.0,350.0,1.0,21.261631,-157.819832,2016-05-16 16:52:05.399866
1369898,7429201,Entire home/apt,,2,18,5.0,6,3.0,396.0,3.0,21.666894,-158.049691,2016-05-16 16:52:01.437427
12902711,9371345,Entire home/apt,,1,0,,6,3.0,342.0,14.0,21.341755,-158.117807,2016-05-16 16:51:53.107757
10680107,55167919,Private room,,4,14,4.5,2,1.0,73.0,1.0,21.286163,-157.831818,2016-05-16 16:51:40.439266
7805987,4563421,Private room,,2,21,5.0,3,1.0,130.0,1.0,21.591764,-158.102798,2016-05-16 16:51:36.296251
8341044,26521212,Entire home/apt,,4,3,4.5,4,1.0,149.0,7.0,21.277986,-157.830116,2016-05-16 16:51:33.472542
8327969,19581060,Entire home/apt,,4,7,4.5,8,3.0,150.0,1.0,21.259987,-157.815218,2016-05-16 16:51:25.047766
4212091,21859324,Private room,,3,9,5.0,5,1.0,183.0,2.0,21.385616,-157.726569,2016-05-16 16:50:45.721045
12649785,7851709,Private room,,1,0,,2,1.0,110.0,1.0,21.366728,-158.089506,2016-05-16 16:50:42.837707
12951360,26921215,Entire home/apt,,2,0,,2,0.0,175.0,,21.52415,-157.835213,2016-05-16 16:50:32.464881
6628066,29008049,Entire home/apt,,1,3,5.0,6,2.0,430.0,1.0,21.330453,-158.122306,2016-05-16 16:50:28.816410
12569871,57837272,Private room,,2,1,,2,1.0,80.0,1.0,21.494859,-158.032314,2016-05-16 16:50:25.791003
12876741,70445081,Entire home/apt,,4,0,,4,1.0,175.0,2.0,21.286657,-157.83858,2016-05-16 16:50:18.774691
4000441,20740920,Private room,,4,70,4.5,2,1.0,79.0,1.0,21.281303,-157.79391,2016-05-16 15:59:52.131818
4359370,395819,Entire home/apt,,4,26,4.5,2,0.0,20.0,1.0,21.27502,-157.824708,2016-05-16 15:59:37.694971
5249072,26120914,Private room,,4,38,4.5,1,1.0,60.0,4.0,21.272265,-157.806096,2016-05-16 15:59:34.723060
8215173,21717359,Entire home/apt,,5,12,5.0,2,1.0,129.0,2.0,21.294057,-157.850806,2016-05-16 15:58:44.269516
9065313,47054315,Entire home/apt,,2,0,,5,1.0,180.0,1.0,21.700779,-157.994003,2016-05-16 15:58:36.378649
11500913,56261045,Entire home/apt,,4,6,5.0,8,3.0,91.0,2.0,21.279799,-157.784417,2016-05-16 15:58:21.599053
9718627,21022344,Private room,,4,18,5.0,2,1.0,59.0,1.0,21.274013,-157.809814,2016-05-16 15:58:05.642988
7958130,3152360,Entire home/apt,,4,3,3.5,4,0.0,125.0,1.0,21.280887,-157.828151,2016-05-16 15:57:29.530051
6144008,24423301,Entire home/apt,,5,0,,2,0.0,110.0,3.0,21.294232,-157.841082,2016-05-16 15:57:00.118019
4759029,22891094,Entire home/apt,,1,21,5.0,6,3.0,199.0,,21.478939,-158.226669,2016-05-16 15:56:49.540203
9825277,20446464,Private room,,5,24,4.5,2,1.0,50.0,1.0,21.28843,-157.820434,2016-05-16 15:56:34.977646
8763375,18610238,Private room,,2,1,,2,1.0,150.0,1.0,21.576337,-158.108404,2016-05-16 15:56:23.894710
343030,1740542,Entire home/apt,,4,48,4.0,6,2.0,350.0,3.0,21.279374,-157.828181,2016-05-16 15:55:46.020120
7055380,34946956,Entire home/apt,,4,1,,2,1.0,90.0,2.0,21.278383,-157.823756,2016-05-16 15:55:31.474471
9532066,49375908,Private room,,9,2,,8,1.0,34.0,2.0,21.39753,-158.033529,2016-05-16 15:55:16.370846
3820259,18610238,Private room,,2,23,4.0,3,1.0,125.0,1.0,21.577136,-158.109046,2016-05-16 15:54:58.906851
760111,4005981,Private room,,4,181,5.0,2,1.0,99.0,2.0,21.278755,-157.822574,2016-05-16 15:54:38.814063
5106330,3314241,Private room,,5,10,5.0,4,1.0,75.0,2.0,21.286348,-157.8032,2016-05-16 15:54:36.393724
11701307,43202501,Entire home/apt,,4,5,5.0,8,3.0,299.0,3.0,21.273858,-157.809721,2016-05-16 15:54:21.998055
11324548,4924583,Private room,,4,2,,2,1.0,60.0,2.0,21.287569,-157.833428,2016-05-16 15:54:19.244453
4403306,21901912,Entire home/apt,,4,58,5.0,2,0.0,115.0,1.0,21.286625,-157.840608,2016-05-16 15:54:12.001800
5590967,28815644,Private room,,2,18,4.5,2,1.0,40.0,1.0,21.660808,-158.055144,2016-05-16 15:53:50.131620
6402948,33390813,Private room,,2,9,4.5,2,1.0,185.0,2.0,21.650834,-158.061441,2016-05-16 15:53:47.151145
8117187,42862097,Private room,,4,0,,4,1.0,250.0,1.0,21.28386,-157.832474,2016-05-16 15:53:15.562688
1271749,4619663,Entire home/apt,,2,105,5.0,8,3.0,170.0,1.0,21.61667,-157.915069,2016-05-16 15:53:11.649744
3006317,15320817,Entire home/apt,,2,4,4.5,5,3.0,258.0,3.0,21.645833,-157.924702,2016-05-16 15:52:40.242805
6594442,33380091,Entire home/apt,,4,0,,4,1.0,150.0,1.0,21.274269,-157.820966,2016-05-16 15:52:12.259650
6630646,33380091,Entire home/apt,,4,0,,4,1.0,190.0,,21.275334,-157.820625,2016-05-16 15:52:03.145306
10994399,51018667,Entire home/apt,,4,0,,4,0.0,190.0,3.0,21.280167,-157.826938,2016-05-16 15:51:51.442046
12369449,57837272,Private room,,2,0,,1,1.0,105.0,1.0,21.495997,-158.034235,2016-05-16 15:51:46.724596
2634897,13492335,Private room,,2,8,4.5,4,1.0,150.0,1.0,21.575267,-158.107858,2016-05-16 15:51:42.976033
5310720,10306818,Private room,,2,16,5.0,2,1.0,85.0,3.0,21.576331,-158.10505,2016-05-16 15:51:39.996997
12234455,65837549,Entire home/apt,,4,0,,2,0.0,80.0,3.0,21.277374,-157.825108,2016-05-16 15:51:35.721296
10321813,17535581,Private room,,5,0,,1,1.0,42.0,2.0,21.324962,-157.798807,2016-05-16 15:50:30.061641
5106505,3314241,Private room,,5,16,5.0,2,1.0,75.0,2.0,21.283554,-157.805151,2016-05-16 15:50:14.034524
4863016,10212153,Entire home/apt,,3,10,5.0,2,1.0,160.0,3.0,21.399505,-157.750468,2016-05-16 15:49:23.620619
1783189,4231961,Entire home/apt,,4,27,4.5,2,0.0,142.0,3.0,21.274933,-157.823135,2016-05-16 15:49:16.299064
10344946,51428584,Private room,,4,8,5.0,2,1.0,95.0,1.0,21.282882,-157.827815,2016-05-16 15:49:00.784880
6665489,33380091,Entire home/apt,,4,0,,4,1.0,181.0,,21.274252,-157.822105,2016-05-16 15:48:54.976471
2883904,14740621,Entire home/apt,,1,67,4.5,5,2.0,149.0,2.0,21.469383,-158.217112,2016-05-16 15:48:50.803553
563050,2602532,Private room,,3,61,5.0,2,1.0,119.0,3.0,21.367063,-157.733838,2016-05-16 15:48:31.814106
11723273,62347745,Entire home/apt,,4,0,,8,2.0,200.0,1.0,21.281533,-157.827476,2016-05-16 15:48:28.416068
6376747,22857543,Private room,,4,23,5.0,1,1.0,53.0,4.0,21.279938,-157.79167,2016-05-16 15:48:07.133998
11440775,43730117,Private room,,9,0,,4,1.0,200.0,1.0,21.331211,-158.012419,2016-05-16 15:48:04.057830
2530337,6685693,Entire home/apt,,6,77,5.0,2,1.0,130.0,2.0,21.311505,-157.850688,2016-05-16 15:47:54.032930
12403261,67069191,Entire home/apt,,4,0,,2,0.0,85.0,1.0,21.286367,-157.83582,2016-05-16 15:47:16.373808
2857508,14344310,Entire home/apt,,2,64,4.5,5,2.0,129.0,1.0,21.605839,-157.907107,2016-05-16 15:47:05.618001
2356059,10496350,Entire home/apt,,4,2,,10,4.0,900.0,7.0,21.256772,-157.791484,2016-05-16 15:46:42.047505
229954,1201408,Entire home/apt,,2,17,5.0,8,3.0,441.0,,21.606768,-157.90846,2016-05-16 15:46:32.605631
9884953,21117352,Shared room,,8,5,4.5,2,1.0,35.0,2.0,21.395443,-157.954228,2016-05-16 15:46:28.624146
1612398,461037,Entire home/apt,,2,0,,8,3.0,345.0,4.0,21.625372,-157.921345,2016-05-16 15:46:16.138763
13046844,28170462,Entire home/apt,,4,0,,4,0.0,110.0,3.0,21.279641,-157.826343,2016-05-16 15:46:05.611022
10192877,52353356,Entire home/apt,,4,0,,2,0.0,130.0,2.0,21.275826,-157.823457,2016-05-16 15:45:56.226252
10994395,51018667,Entire home/apt,,4,0,,3,0.0,216.0,3.0,21.282264,-157.826756,2016-05-16 15:45:54.200775
9738513,50245815,Entire home/apt,,4,1,,2,0.0,120.0,10.0,21.286032,-157.840022,2016-05-16 15:45:44.820446
5509266,9136791,Private room,,4,8,5.0,2,1.0,90.0,1.0,21.28527,-157.839039,2016-05-16 15:45:34.082118
6999508,461037,Entire home/apt,,2,1,,5,1.0,110.0,1.0,21.65181,-157.928191,2016-05-16 15:45:29.923203
1462962,3365656,Private room,,1,47,4.5,2,1.0,45.0,5.0,21.456639,-158.198881,2016-05-16 15:45:18.300864
1786017,9314831,Private room,,2,137,5.0,2,1.0,80.0,1.0,21.582546,-158.138399,2016-05-16 15:45:15.563452
13047856,7740530,Private room,,2,0,,2,1.0,75.0,1.0,21.575315,-158.109468,2016-05-16 15:45:04.758516
10281404,48708164,Private room,,5,2,,1,1.0,58.0,3.0,21.280435,-157.810983,2016-05-16 15:45:01.359167
438923,2180698,Private room,,2,99,4.5,2,1.0,75.0,3.0,21.702172,-157.995607,2016-05-16 15:44:34.974011
10994825,57009303,Entire home/apt,,4,0,,4,1.0,500.0,7.0,21.27807,-157.830655,2016-05-16 15:44:28.153410
12115040,64984727,Private room,,2,0,,2,1.0,50.0,1.0,21.451918,-157.832838,2016-05-16 15:44:12.360539
9335972,48455028,Entire home/apt,,3,14,5.0,5,2.0,169.0,4.0,21.40054,-157.752365,2016-05-16 15:44:02.780836
8529755,37257332,Entire home/apt,,4,1,,6,3.0,1750.0,7.0,21.25633,-157.801237,2016-05-16 15:42:59.869600
11733852,60146687,Entire home/apt,,4,0,,10,4.0,1050.0,7.0,21.264363,-157.785423,2016-05-16 15:42:53.182709
4034223,20917100,Entire home/apt,,2,15,5.0,6,2.0,345.0,4.0,21.654961,-158.060112,2016-05-16 15:42:49.134178
11990717,1671879,Entire home/apt,,4,1,,4,1.0,149.0,1.0,21.275595,-157.821206,2016-05-16 15:42:07.252294
84379,461037,Entire home/apt,,2,2,,6,2.0,210.0,3.0,21.641544,-157.920146,2016-05-16 15:41:35.839168
12874154,70422087,Entire home/apt,,2,1,,6,2.0,250.0,1.0,21.536537,-157.840088,2016-05-16 15:41:18.919619
8745846,8093171,Private room,,2,12,4.5,4,1.0,95.0,2.0,21.612153,-157.914118,2016-05-16 15:41:01.980288
10945756,40240788,Entire home/apt,,4,1,,4,1.0,150.0,2.0,21.28174,-157.825212,2016-05-16 15:40:58.392342
3712380,7324234,Private room,,5,15,4.5,4,1.0,115.0,1.0,21.305429,-157.81226,2016-05-16 15:40:50.608775
7027447,25196825,Entire home/apt,,4,8,4.5,3,1.0,79.0,3.0,21.28029,-157.825843,2016-05-16 15:40:39.592716
10978309,31394375,Entire home/apt,,5,2,,2,0.0,106.0,5.0,21.28167,-157.8249,2016-05-16 15:40:22.549873
6508126,32318851,Private room,,4,0,,3,1.0,75.0,2.0,21.275694,-157.804184,2016-05-16 15:40:18.522091
11345176,5835710,Entire home/apt,,4,0,,6,1.0,225.0,7.0,21.278042,-157.830244,2016-05-16 15:40:07.548735
9065827,1191923,Entire home/apt,,4,5,4.5,5,2.0,175.0,4.0,21.276275,-157.764749,2016-05-16 15:40:03.621977
10547611,54394573,Private room,,1,12,5.0,2,1.0,75.0,1.0,21.319469,-158.0183,2016-05-16 15:39:58.499221
12935935,49739297,Private room,,1,0,,2,1.0,70.0,3.0,21.466762,-158.215263,2016-05-16 15:39:51.658650
7251335,4394268,Entire home/apt,,2,29,5.0,6,2.0,195.0,1.0,21.648096,-157.917479,2016-05-16 15:39:46.478913
13008421,32626187,Private room,,9,0,,2,1.0,59.0,15.0,21.403053,-158.035919,2016-05-16 15:39:38.857066
6665649,33380091,Entire home/apt,,4,0,,4,1.0,190.0,,21.275495,-157.820171,2016-05-16 15:39:35.008325
12553372,9458290,Entire home/apt,,4,2,,2,1.0,113.0,2.0,21.286012,-157.839789,2016-05-16 15:39:27.895064
9349129,47752282,Entire home/apt,,4,19,4.5,4,1.0,125.0,1.0,21.286225,-157.8332,2016-05-16 15:39:18.892566
9906000,50937700,Private room,,1,16,5.0,2,1.0,76.0,1.0,21.319709,-158.023049,2016-05-16 15:38:58.496158
11829964,45023534,Private room,,5,0,,2,1.0,99.0,1.0,21.292778,-157.810941,2016-05-16 15:38:55.008746
10492341,2576932,Entire home/apt,,4,1,,8,2.0,337.0,2.0,21.275565,-157.823916,2016-05-16 15:38:31.426230
1846594,8551876,Entire home/apt,,4,23,4.5,4,1.0,130.0,,21.283334,-157.837566,2016-05-16 15:38:18.643389
9476419,49115436,Entire home/apt,,2,14,5.0,4,2.0,125.0,2.0,21.654027,-158.061306,2016-05-16 15:38:03.059298
5353096,6929255,Entire home/apt,,2,15,4.5,6,2.0,94.0,3.0,21.583034,-158.1403,2016-05-16 15:37:59.155802
5978209,10704831,Private room,,4,25,4.5,1,1.0,55.0,2.0,21.279425,-157.777607,2016-05-16 15:37:46.742760
6664267,34884725,Private room,,4,1,,2,1.0,128.0,1.0,21.270684,-157.812774,2016-05-16 15:37:31.564921
6665504,33380091,Entire home/apt,,4,0,,6,1.0,180.0,,21.275555,-157.822109,2016-05-16 15:37:21.147442
8653729,1740542,Entire home/apt,,2,5,3.0,2,0.0,65.0,1.0,21.450849,-157.828273,2016-05-16 15:36:57.836471
10994615,51018667,Entire home/apt,,4,0,,3,0.0,185.0,3.0,21.280065,-157.824993,2016-05-16 15:36:40.502129
4727857,17051758,Private room,,4,28,5.0,1,1.0,55.0,3.0,21.279936,-157.787065,2016-05-16 15:36:18.632558
11303618,34961508,Entire home/apt,,4,0,,10,4.0,850.0,1.0,21.288075,-157.792166,2016-05-16 15:36:12.166904
9666697,49708957,Private room,,3,3,4.5,1,1.0,79.0,3.0,21.426373,-157.8025,2016-05-16 15:36:05.021317
1787034,9378359,Entire home/apt,,3,22,5.0,2,1.0,136.0,7.0,21.401555,-157.743796,2016-05-16 15:35:49.009297
10489366,54071546,Shared room,,4,15,5.0,2,1.0,55.0,1.0,21.285599,-157.837193,2016-05-16 15:35:21.485626
887462,4622146,Private room,,1,0,,2,1.0,100.0,3.0,21.322899,-158.024241,2016-05-16 15:35:03.423586
10035609,2872572,Entire home/apt,,3,2,,2,0.0,169.0,3.0,21.396528,-157.731274,2016-05-16 15:34:49.457737
856344,2178105,Entire home/apt,,2,108,4.0,2,1.0,100.0,1.0,21.678006,-158.035162,2016-05-16 15:34:43.727489
9652974,21751006,Private room,,4,22,4.5,3,1.0,75.0,2.0,21.272329,-157.809656,2016-05-16 15:34:35.112214
